"-- Please Select --","-- 请选择 --"
"The review was removed by another user or does not exist.","该描述已经被另一个用户移除或不存在."
"The search was deleted.","已删除搜索."
"The text is too long","文本过长"
"There are no %s available.","没有%s可用。"
"There are no customers for this alert","该提醒没有客户"
"There are no products matching the selection.","没有与选择匹配的商品。"
"There was an error while adding products to websites","增加商品到网站时出错"
"There was an error while cleared compare list","清空比较列表出错"
"There was an error while removing products from websites","从网站删除商品时出错"
"There was an error while updating product(s) attributes","更新商品属性时出错"
"There was an error while updating product(s) status","更新商品状态出错"
"This attribute no longer exists","该属性不存在"
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","该属性组包含可配置商品所使用属性。请将这些属性移到另外的属性组再试。"
"This group contains system attributes. Please move system attributes to another group and try again.","该属性组包含系统属性。请将系统属性移到另外一个组后再试。"
"This attribute cannot be deleted.","该属性没有被删除."
"This attribute cannot be edited.","该属性没有被修改."
"This attribute cannot be updated.","该属性没有被更新."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","该属性用于可配置的商品,您不能把它从属性集中移除."
"This Attribute no longer exists","属性不存在"
"This attribute no longer exists","属性不存在"
"This attribute set no longer exists.","属性集不存在."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","此组包含属性,用于可配置的商品.请把这些属性移到别的组后再试一次."
"This group contains system attributes. Please move system attributes to another group and try again.","此组包含系统属性.请把该系统属性移到另一组然后再试一次."
"This is a required option","这是一个必填的属性"
"This search no longer exists","该搜索已不存在"
"This product no longer exists.","该产品已经不存在了."
"This search no longer exists.","该搜索已经不存在了."
"Tier Pricing","分级价格"
"Tile","排列"
"Time format","时间格式"
"Title","标题"
"To reindex the enabled product(s), the store or product must be specified.","重新索引可激活的商品,商店或商品必须可指定的."
"Top/Left","左上"
"Top/Right","右上"
"Total incl. Tax: %1$s","税总额： %1$s"
"Total of %d record(s) were successfully deleted","成功删除%d个记录"
"Total of %d record(s) were successfully updated","成功更新%d个记录"
"Total Qty Base Items","Base 记录总数 "
"Type","类型"
"Unable to complete request. Please try again later.","无法完成请求，请稍后再试。"
"Unable to find a search term to delete","没有找到要删除的搜索关键词"
"Unable to find an attribute to delete","没有找到要删除的属性"
"Unable to get product id.","无法取得商品编号。"
"Unassigned Attributes","未指定的属性"
"Unique Value","唯一值"
"Unique Value (not shared with other products)","唯一值 (没有与其它商品共享)"
"Unknown attribute: %s","未知属性：%s"
"Unknown EAV indexer type ""%s"".","位置的EAV类型""%s""."
"unselect all","取消全选"
"Unsupported product type ""%s"".","不支持的商品类型""%s""."
"Up-sells","推荐销售"
"Update","更新"
"Update assigned product","更新指定商品"
"Update attributes","更新属性"
"Update Attributes","更新属性"
"Update category","更新分类"
"Update product","更新商品"
"Update product image","更新商品图片"
"Update product link","更新商品连接"
"Update product tier prices","更新商品分级价格"
"Update Tier Price","更新分层价格"
"Upload new product image ","上传新的商品图片 "
"Url","网址"
"Url rewrie save problem.","网址重写保存问题。"
"Url Rewrite Management","网址重写"
"Use categories path for product URLs","商品网址使用分类路径"
"Use Config Settings","使用设置值"
"Use Canonical Link Meta Tag For Categories","为分类使用规范的META标签链接"
"Use Canonical Link Meta Tag For Products","为商品使用规范的META标签链接"
"Use Categories Path for Product URLs","为商品链接使用分类路径"
"Use Config Settings","使用配置设置"
"Use default","使用默认"
"Use Default Value","使用缺省值"

"Use Flat Catalog Category","使用目录分类"
"Use Flat Catalog Product","使用产品目录"
"Use in advanced search","用于高级搜索"
"Use In Layered Navigation","用于分层导航"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","用于分级导航<br/>(仅用于目录输入类型'下拉菜单')"
"Use in quick search","用于快速搜索"
"Use In Search Results Layered Navigation","用于分层导航搜索结果"
"Use in Quick Search","用于快速搜索"
"Use In Search Results Layered Navigation","用于分层导航搜索结果"
"Use JavaScript Calendar","使用JavaScript日程表"
"Use To Create Configurable Product","用于创建可配置商品"
"Use Static URLs for Media Content in WYSIWYG for Catalog","为所见所得的商品使用静态的URL"
"Use Tree Like Category Sitemap","分类地图用树形图表示"
"Used for sorting in product listing","在商品列表中排序"
"Used in product listing","用于商品列表"
"Values Required","必填项"
"Value for ""%s"" is invalid: %s","""%s""的价值是无效的: %s"
"Varchar","变量"
"View as","显示方式"
"Virtual Product","虚拟商品"
"Visibility","可见性"
"Visible","可见"
"Visible on Catalog Pages on Front-end","在前台目录页面可见"
"Visible on Product View Page on Front-end","显示在商品界面顶端"
"Watermark","水印"
"Watermark Default Size","水印缺省大小"
"Watermark Opacity, Percent","水印透明度百分比"
"Watermark Position","水印位置"
"We Also Recommend","我们也建议"
"Web Site Item Must be checked","Web Site Item Must be checked"
"Web Site Store Must be checked","Web Site Store Must be checked"
"Website","网站"
"Websites","网站"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","是否显示""所有""的选项在""显示在某一页""的下拉菜单中."
"Wrong BuyRequest instance in options group","在选项组里错买的实例"
"Wrong option instance type in options group","在选项组里的错误的选项实例类型"
"Wrong option type to get group instance.","错误的选项类型进入组中的实例."
"Wrong product instance type in options group","在选项组中错误的产品实例类型"
"Wrong product type filter specified","指定过滤错误的商品类型"
"Wrong quote item instance in options group","选项组中错误的引用项目"
"Wrong quote item option instance in options group","选项组中错误的引用项目例子"
"WYSIWYG Editor","实用的在线编辑器"
"x","x"
"Year Range","一年范围内"
"Yes","是"
"Yes/No","是/否"
"You cannot email this product to a friend.","无法将此商品用邮箱发给朋友."
"You cannot delete this attribute","无法删除该属性"
"You cannot edit this attribute","无法修改该属性"
"You cannot send more than %d emails at a time.","你不能在同一时间发送%d封邮件."
"You have exceeded limit of %d sends in an hour.","你在一小时内已经超过%d的发送次数."
"You cannot remove system attribute from this set.","不能从改组合中删除系统属性。"
"You cannot update this attribute","无法更新该属性"
"You have to specify at least one recipient.","你必须指定至少一个用户."
"You have no items to compare.","没有要比较的商品。"
"You may also be interested in the following product(s)","您也许会喜欢下面的商品"
"Zoom In","放大"
"Zoom Out","缩小"
"Are you sure you would like to remove all products from your comparison?","您确定是否要清空您的商品比较列表？"
"Are you sure you would like to remove this item from the comparison list?","您确定是否要从商品比较列表中移除该商品？"
"Please specify the product\'s option(s).","您是否遗忘了指定商品选项？"
"Please specify the product\'s required option(s).","您是否遗忘了指定商品选项？"
"Please specify the product's option(s).","您是否遗忘了指定商品选项？"
"Please specify the product required option(s).","您是否遗忘了指定商品选项？"
"All Catalogs","全部分类"
"Shop By","全部分类"

